vx_target [m/s],vy_target [m/s],opt_score [-],opt_wheelspeed [rad/s],opt_steering_angle [rad],opt_yawrate [rad/s]
7.500000,0.700000,25.022979,120000.000000,0.202631,-0.569027
7.750000,0.700000,25.092670,123999.999999,0.203229,-0.549972
8.000000,0.700000,25.164846,127999.999994,0.203847,-0.532086
8.250000,0.700000,25.239529,131999.999994,0.204484,-0.515261
8.500000,0.700000,25.316738,135999.999998,0.205142,-0.499405
8.750000,0.700000,25.396496,139999.999999,0.205818,-0.484434
9.000000,0.700000,25.478825,143999.999998,0.206515,-0.470274
9.250000,0.700000,25.563748,147999.999998,0.207231,-0.456861
9.500000,0.700000,25.651287,151999.999998,0.207967,-0.444134
9.750000,0.700000,25.741468,155999.999998,0.208722,-0.432040
10.000000,0.700000,25.834314,159999.999999,0.209497,-0.420533
0.250000,0.800000,53.175553,3998.783112,-0.274728,-1.897577
0.500000,0.800000,40.025438,7999.999999,-0.181572,-3.662551
0.750000,0.800000,28.078272,11999.999999,0.048916,-4.259344
1.000000,0.800000,22.685293,15999.999999,0.164837,-4.814815
1.250000,0.800000,18.207552,17042.962963,0.439556,-3.148007
1.500000,0.800000,27.795171,24000.000000,0.200164,-2.565956
1.750000,0.800000,27.839276,28000.000000,0.199283,-2.196141
2.000000,0.800000,27.872667,32000.000000,0.198929,-1.919889
2.250000,0.800000,27.902483,35999.999999,0.198792,-1.705344
2.500000,0.800000,27.931378,40000.000000,0.198774,-1.533807
2.750000,0.800000,27.960495,43999.999999,0.198969,-1.393461
3.000000,0.800000,27.986674,48000.000000,0.199166,-1.276629
3.250000,0.800000,28.014915,51999.999999,0.199390,-1.177724
3.500000,0.800000,28.045283,56000.000000,0.199639,-1.092902
3.750000,0.800000,28.077820,60000.000000,0.199912,-1.019346
4.000000,0.800000,28.112560,64000.000000,0.200208,-0.954942
4.250000,0.800000,28.149527,67999.999999,0.200525,-0.898075
4.500000,0.800000,28.188743,71999.999999,0.200864,-0.847487
4.750000,0.800000,28.230227,75999.999999,0.201223,-0.802188
5.000000,0.800000,11.814378,80000.000000,0.659302,-0.946502
5.250000,0.800000,28.320061,84000.000000,0.202005,-0.724431
5.500000,0.800000,28.368444,87999.999999,0.202426,-0.690805
5.750000,0.800000,28.419158,91999.999999,0.202868,-0.660073
6.000000,0.800000,28.472217,95999.999999,0.203330,-0.631872
6.250000,0.800000,28.527639,99999.999999,0.203812,-0.605898
6.500000,0.800000,28.585437,103999.999998,0.204314,-0.581895
6.750000,0.800000,28.645629,107999.999998,0.204836,-0.559643
7.000000,0.800000,28.708230,111999.999998,0.205378,-0.538955
7.250000,0.800000,28.773258,115999.999998,0.205940,-0.519669
7.500000,0.800000,28.840729,119999.999998,0.206522,-0.501644
7.750000,0.800000,28.910662,123999.999998,0.207124,-0.484759
8.000000,0.800000,28.983074,127999.999994,0.207746,-0.468906
8.250000,0.800000,29.057984,131999.999998,0.208388,-0.453992
8.500000,0.800000,29.135413,136000.000000,0.209050,-0.439934
8.750000,0.800000,29.215379,139999.999999,0.209607,-0.426662
9.000000,0.800000,29.297903,142225.777775,0.210432,-0.414100
9.250000,0.800000,29.383003,147999.999993,0.211154,-0.402200
9.500000,0.800000,29.470704,151999.999998,0.211894,-0.390908
9.750000,0.800000,29.561027,155999.999998,0.212655,-0.380175
10.000000,0.800000,29.653999,160000.000000,0.213677,-0.369954
0.250000,0.900000,52.853556,3999.999999,-0.251664,-2.030178
0.500000,0.900000,39.766373,7967.144033,-0.006105,-3.333333
0.750000,0.900000,28.011845,12000.000000,0.152174,-4.252457
1.000000,0.900000,20.957487,5354.666667,0.330173,-4.261545
1.250000,0.900000,31.143769,20000.000000,0.203599,-2.725316
1.500000,0.900000,31.193670,24000.000000,0.202496,-2.266395
1.750000,0.900000,24.720311,100.010771,0.659333,-1.669800
2.000000,0.900000,31.255140,32000.000000,0.201954,-1.696680
2.250000,0.900000,31.281869,35999.999999,0.201929,-1.507124
2.500000,0.900000,31.308667,40000.000000,0.201980,-1.355510
2.750000,0.900000,31.335412,44000.000000,0.202240,-1.231464
3.000000,0.900000,31.361013,47999.999999,0.202454,-1.128151
3.250000,0.900000,31.388724,52000.000000,0.202691,-1.040683
3.500000,0.900000,31.418583,56000.000000,0.202952,-0.965663
3.750000,0.900000,31.450620,59999.999999,0.203234,-0.900600
4.000000,0.900000,31.484855,63999.999999,0.203539,-0.843627
4.250000,0.900000,31.521306,68000.000000,0.203864,-0.793316
4.500000,0.900000,31.559994,69338.666666,0.204211,-0.748556
4.750000,0.900000,31.600921,76000.000000,0.204578,-0.708471
5.000000,0.900000,31.644112,79999.999999,0.204966,-0.672360
5.250000,0.900000,31.689576,84000.000000,0.205374,-0.639654
5.500000,0.900000,31.737328,87999.999998,0.205803,-0.609889
5.750000,0.900000,31.787379,91999.999999,0.206252,-0.582682
6.000000,0.900000,31.839744,95999.999999,0.206721,-0.557712
6.250000,0.900000,31.894437,99999.999996,0.207211,-0.534712
6.500000,0.900000,31.951470,103999.999998,0.207721,-0.513453
6.750000,0.900000,32.010859,107999.999999,0.208252,-0.493743
7.000000,0.900000,32.072619,111999.999999,0.208802,-0.475415
7.250000,0.900000,32.136764,115999.999994,0.209373,-0.458326
7.500000,0.900000,32.203311,119999.999998,0.209964,-0.442352
7.750000,0.900000,32.272276,123999.999994,0.210575,-0.427386
8.000000,0.900000,32.343674,127999.999998,0.211207,-0.413333
8.250000,0.900000,32.417524,131999.999995,0.211859,-0.400110
8.500000,0.900000,32.493843,135999.999999,0.212530,-0.387643
8.750000,0.900000,32.572649,139999.999999,0.213222,-0.375867
9.000000,0.900000,32.653961,143999.999998,0.213935,-0.364726
9.250000,0.900000,32.737797,147999.999998,0.214667,-0.354167
9.500000,0.900000,32.824178,151999.999998,0.215420,-0.344145
9.750000,0.900000,32.913122,155999.999993,0.216193,-0.334618
10.000000,0.900000,33.004652,159342.880650,0.216993,-0.325548
0.250000,1.000000,52.552896,4000.000000,-0.219807,-2.139918
0.500000,1.000000,39.195633,8000.000000,0.098359,-3.333333
0.750000,1.000000,29.042439,12000.000000,0.147150,-4.874257
1.000000,1.000000,24.033116,15997.566224,0.329880,-5.040390
1.250000,1.000000,34.120968,19999.999999,0.205475,-2.411044
1.500000,1.000000,34.157077,24000.000000,0.204939,-2.006380
1.750000,1.000000,34.184616,27999.999999,0.204743,-1.718223
2.000000,1.000000,34.209559,31999.999998,0.204694,-1.502337
2.250000,1.000000,34.234080,35999.999996,0.204728,-1.334485
2.500000,1.000000,34.259181,39999.999999,0.204819,-1.200203
2.750000,1.000000,34.283942,43999.999998,0.205119,-1.090343
3.000000,1.000000,34.308784,47999.999999,0.205344,-0.998810
3.250000,1.000000,34.335721,51999.999999,0.205537,-0.921312
3.500000,1.000000,34.364780,55999.999997,0.205861,-0.854832
3.750000,1.000000,34.395980,60000.000000,0.206153,-0.797173
4.000000,1.000000,34.429336,63999.999999,0.206465,-0.746679
4.250000,1.000000,34.464864,68000.000000,0.206799,-0.702085
4.500000,1.000000,34.502574,71999.999997,0.207154,-0.662408
4.750000,1.000000,34.542479,75999.999998,0.207530,-0.626871
5.000000,1.000000,34.584591,80000.000000,0.207927,-0.594854
5.250000,1.000000,34.628921,84000.000000,0.208344,-0.565852
5.500000,1.000000,34.675481,88000.000000,0.208782,-0.539456
5.750000,1.000000,34.724282,91999.999996,0.209241,-0.515324
6.000000,1.000000,34.775336,95999.999995,0.209721,-0.493175
6.250000,1.000000,34.828657,100000.000000,0.210221,-0.472769
6.500000,1.000000,34.884255,103999.999998,0.210742,-0.453906
